iter	Passed	Remaining
0	0	56
1	1	51
2	1	48
3	1	43
4	2	43
5	2	43
6	3	43
7	3	43
8	4	44
9	4	44
10	5	44
11	6	44
12	6	43
13	7	43
14	7	42
15	8	42
16	8	41
17	8	40
18	9	40
19	9	39
20	10	39
21	10	38
22	11	38
23	11	37
24	12	37
25	12	36
26	13	36
27	13	35
28	14	35
29	14	34
30	15	34
31	15	33
32	16	33
33	16	32
34	17	32
35	17	31
36	18	31
37	18	30
38	19	30
39	19	29
40	20	29
41	20	28
42	20	27
43	21	27
44	21	26
45	22	26
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	25	23
52	25	22
53	26	22
54	26	21
55	26	21
56	27	20
57	27	20
58	28	19
59	28	19
60	29	18
61	30	18
62	30	17
63	31	17
64	31	17
65	32	16
66	32	16
67	33	15
68	33	15
69	34	14
70	34	14
71	35	13
72	35	13
73	35	12
74	36	12
75	36	11
76	37	11
77	37	10
78	38	10
79	38	9
80	41	9
81	42	9
82	43	8
83	43	8
84	44	7
85	44	7
86	45	6
87	45	6
88	46	5
89	46	5
90	47	4
91	47	4
92	47	3
93	48	3
94	48	2
95	49	2
96	49	1
97	50	1
98	50	0
99	51	0
